TimeToExtinguish,Injuries
12929.0,10.0
7435.0,26.0
8790.0,5.0
8338.0,6.0
12560.0,12.0
11508.0,6.0
9055.0,4.0
9055.0,4.0
8171.0,6.0
4672.0,2.0
4645.0,5.0
8723.0,5.0
14223.0,1.0
6851.0,6.0
4725.0,5.0
6464.0,2.0
4626.0,2.0
4244.0,2.0
1477.0,1.0
2565.0,1.0
2699.0,2.0
37488.0,12.0
35516.0,11.0
19439.0,7.0
21863.0,21.0
59823.0,15.0
11308.0,5.0
11872.0,4.0
11872.0,4.0
11681.0,2.0
11681.0,2.0
7770.0,3.0
11655.0,3.0
6314.0,3.0
9180.0,4.0
10257.0,9.0
9755.0,3.0
5904.0,2.0
37752.0,1.0
9737.0,2.0
5782.0,3.0
6019.0,4.0
11139.0,4.0
9861.0,3.0
4232.0,4.0
4519.0,1.0
3263.0,1.0
2415.0,4.0
8248.0,4.0
8248.0,4.0
28993.0,14.0
17282.0,1.0
26198.0,6.0
5989.0,4.0
11715.0,0.0
8955.0,1.0
5880.0,3.0
4385.0,2.0
11445.0,2.0
5678.0,3.0
10432.0,1.0
8945.0,4.0
3010.0,2.0
1676.0,1.0
34047.0,1.0
12702.0,1.0
28555.0,3.0
28555.0,3.0
4488.0,1.0
15567.0,1.0
10375.0,3.0
6137.0,2.0
4665.0,1.0
9983.0,3.0
4815.0,1.0
4715.0,1.0
1274.0,1.0
9657.0,3.0
191778.0,5.0
177680.0,1.0
256376.0,4.0
267655.0,0.0
527171.0,2.0
269224.0,4.0
171743.0,3.0
254705.0,1.0
189910.0,1.0
121871.0,1.0
310953.0,4.0
161300.0,3.0
302012.0,2.0
231688.0,3.0
231688.0,3.0
231688.0,3.0
231688.0,3.0
237382.0,0.0
237382.0,0.0
24567.0,3.0
81738.0,0.0
81738.0,0.0
270465.0,1.0
270465.0,1.0
263364.0,3.0
280360.0,1.0
280704.0,1.0
279212.0,1.0
305305.0,1.0
234413.0,1.0
235773.0,1.0
243220.0,2.0
20013.0,4.0
29528.0,8.0
16065.716666666667,4.0
12710.0,2.0
14536.4,3.0
6117.85,3.0
7265.0,3.0
8854.0,4.0
3866.483333333333,2.0
226.31666666666666,1.0
